0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:14 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:14 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:29 +0900] "GET /fin/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:30 +0900] "GET /fin/main HTTP/1.1" 200 96977
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:31 +0900] "GET /fin/login HTTP/1.1" 200 37226
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:32 +0900] "GET /fin/resources/js/kakaoLogin.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:33 +0900] "GET /fin/emailDupCheck?userEmail=jinijnleelee%40gmail.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:47 +0900] "POST /fin/fin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:47 +0900] "GET /fin/login HTTP/1.1" 200 37270
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:47 +0900] "GET /fin/resources/js/kakaoLogin.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:49 +0900] "GET /fin/emailDupCheck?userEmail=jinijnleelee%40gmail.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:57 +0900] "POST /fin/fin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:57 +0900] "GET /fin/main HTTP/1.1" 200 100678
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:57 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getUserNicks?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/totalAlarmGet?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=64 HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=64 HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=64 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "POST /fin/checkRoom HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "GET /fin/board HTTP/1.1" 200 59666
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "GET /fin/getUserNicks?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "GET /fin/getAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "GET /fin/totalAlarmGet?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:01 +0900] "POST /fin/checkRoom HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:02 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=64 HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:02 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=64 HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:02 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=64 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:05 +0900] "GET /fin/boardDetail?boardNo=423&loginUserNo=64 HTTP/1.1" 200 64662
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:05 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/getUserNicks?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/getAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/totalAlarmGet?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=64 HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=64 HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "POST /fin/checkRoom HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:06 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=64 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:08 +0900] "GET /fin/board HTTP/1.1" 200 59666
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:09 +0900] "POST /fin/checkRoom HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:11 +0900] "GET /fin/boardDetail?boardNo=413&loginUserNo=64 HTTP/1.1" 200 65446
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:11 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/getUserNicks?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/getAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/totalAlarmGet?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=64 HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=64 HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "POST /fin/checkRoom HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:12 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=64 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:13 +0900] "GET /fin/board HTTP/1.1" 200 59666
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:14 +0900] "POST /fin/checkRoom HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/boardWrite HTTP/1.1" 200 23606
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/totalAlarmGet?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/getAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/getUserNicks?loginUserNo=64 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:15:16 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=64 HTTP/1.1" 200 906
