0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:12:43 +0900] "GET /fin/board HTTP/1.1" 200 17072
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:12:44 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:12:44 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:12:44 +0900] "GET /fin/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:12:44 +0900] "GET /fin/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:12:44 +0900] "GET /fin/resources/js/footer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:17:46 +0900] "GET /fin/board HTTP/1.1" 200 17072
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:17:46 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 6780
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:21:05 +0900] "GET /fin/board HTTP/1.1" 200 17072
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:21:05 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 7048
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:25:08 +0900] "GET /fin/board HTTP/1.1" 200 17090
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:25:08 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 7061
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/board HTTP/1.1" 200 17090
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/resources/css/global.css HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 7061
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/resources/css/footer.css HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/resources/js/header.js HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/resources/js/footer.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:28:23 +0900] "GET /fin/resources/js/boardMain.js HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:29:05 +0900] "GET /fin/board HTTP/1.1" 200 17090
